Price,Close,High,Low,Open,Volume
Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS
Date,,,,,
2002-07-01,30.169174194335938,30.384717127786235,29.92710500162911,29.92710500162911,3709080
2002-07-02,30.242130279541016,30.5405734968792,30.175808932095762,30.2587091933196,2500024
2002-07-03,29.90389633178711,30.407929442100464,29.86078546555986,30.35818985682368,1910772
2002-07-04,29.787832260131836,30.126067698219682,29.72151376247631,30.026588528653743,1515924
2002-07-05,29.860794067382812,30.01001571236389,29.69499350458879,29.69499350458879,1038928
2002-07-08,30.434473037719727,30.490844215047357,29.84422076012249,30.32504362108372,1772149
2002-07-09,30.30182456970215,30.75611818264404,30.218921449978744,30.507417361971456,2892991
2002-07-10,30.218921661376953,30.3747748598352,29.84421253612226,29.92711281025972,1063845
2002-07-11,29.96027183532715,30.341612506076114,29.92047959209108,30.15923305150749,1413315
2002-07-12,30.109500885009766,30.25871969932304,29.903908051945,30.17581940931574,1485990
2002-07-15,30.010007858276367,30.126068791090457,29.645246146360126,30.126068791090457,2159154
2002-07-16,29.88732147216797,30.092914272117046,29.512609489371602,29.512609489371602,1652139
2002-07-17,29.671785354614258,29.84422036080929,29.456245154578774,29.67841976906405,1308973
2002-07-18,29.860794067382812,29.943694348779825,29.622040573879545,29.76131486817286,1634161
2002-07-19,30.01995849609375,30.12607209245189,29.678410071777947,29.678410071777947,4430164
2002-07-22,27.97065544128418,28.7996609419822,27.864541849191166,28.7996609419822,2559451
2002-07-23,27.930870056152344,28.262474045529054,27.622479399113537,27.987244072044547,1543779
2002-07-24,27.731901168823242,27.980601957785446,27.68879314591641,27.721953820344474,1839717
2002-07-25,27.18476104736328,28.269101879394107,26.95927070590848,28.269101879394107,9698058
2002-07-26,27.058757781982422,27.390358943143656,26.9426968063427,27.091918467331837,2582338
2002-07-29,26.760313034057617,27.35056523255902,26.54477286002135,27.174817309588395,1608246
2002-07-30,26.388919830322266,27.19139642492114,26.19659014108652,27.19139642492114,1532263
2002-07-31,26.32259750366211,26.52819032046981,25.90809608640192,26.047367537981504,1588950
2002-08-01,26.080522537231445,26.478444949554042,26.030782947232524,26.030782947232524,939127
2002-08-02,26.22974395751953,26.3126442222872,25.69917884760774,25.94788248807633,1121058
2002-08-05,27.191390991210938,27.340612615508455,26.362385445982873,26.362385445982873,1788777
2002-08-06,27.0521240234375,27.17481655697805,26.544772124860174,27.00901598982413,968539
2002-08-07,27.12507438659668,27.340614534246125,27.058753027551024,27.340614534246125,884349
2002-08-08,27.18476104736328,27.95407969648393,27.10849233911139,27.191392613965025,2182081
2002-08-09,27.506412506103516,28.136456819452917,27.174811434305173,27.191390349428815,3620929
2002-08-12,27.655637741088867,28.086720898462737,27.41688425511251,27.63905882379859,2180412
2002-08-13,27.682172775268555,27.904347391470818,27.483211494403342,27.672222576600294,844686
2002-08-14,27.80485725402832,27.937497120700503,27.566103786318887,27.68879630337797,893839
2002-08-15,27.80485725402832,27.80485725402832,27.80485725402832,27.80485725402832,0
2002-08-16,28.28567886352539,28.517800755724224,27.85459575603695,27.930864459078443,2908156
2002-08-19,28.434898376464844,28.816241863373953,28.285676764529498,28.726707188513434,4380849
2002-08-20,28.610645294189453,28.667019292716166,28.40173675216589,28.517797685771296,1884010
2002-08-21,28.925670623779297,29.031784220979418,28.202778680382444,28.35200030384636,3296326
2002-08-22,29.197587966918945,29.263909328224457,28.96546889468176,29.14784836902284,4005877
2002-08-23,29.79447364807129,29.927113520606373,29.124637026362073,29.505977727212677,6834802
2002-08-26,30.633419036865234,30.915280475217635,29.937053474230872,29.937053474230872,11248938
2002-08-27,30.78927993774414,30.965027840750725,30.026595686650655,30.82244061755968,8647789
2002-08-28,30.68979263305664,30.772695741455347,30.21891732202604,30.21891732202604,4746235
2002-08-29,31.014766693115234,31.170619877889653,30.749484131467486,31.004816498006278,5962054
2002-08-30,30.451047897338867,30.673222485165,30.202347039563083,30.42452162738922,4825647
2002-09-02,30.325031280517578,31.00481514683507,27.70537214651122,30.656632333502053,2064600
2002-09-03,29.83757972717285,30.208973053690897,29.761311022755592,29.844211293441173,3253635
2002-09-04,29.844209671020508,29.970217961765776,29.346805227781626,29.678409138662758,2993845
2002-09-05,30.175819396972656,30.358201742613982,29.804425984045196,29.860797156607184,2468727
2002-09-06,29.85416030883789,30.374775290108918,29.80442071288401,30.25871433543923,1862496
2002-09-09,29.83757972717285,30.003380268544017,29.605457830786907,29.761311022755592,921829
2002-09-10,29.83757972717285,29.83757972717285,29.83757972717285,29.83757972717285,0
2002-09-11,29.860794067382812,30.01001571236389,29.811054467777836,29.986805227425773,799830
2002-09-12,30.126079559326172,30.334988174597452,29.811057321396046,29.844218006362336,1589184
2002-09-13,30.036542892456055,31.120880894069167,29.976853099841627,30.523997198754707,2314170
2002-09-16,30.01995849609375,30.242133037984498,29.976850470172003,30.175811684489947,954940
2002-09-17,30.208972930908203,30.308454963026033,30.019959062200368,30.136020009921616,767758
2002-09-18,30.185773849487305,30.47426988647263,29.844225257532155,29.844225257532155,1567084
2002-09-19,30.126079559326172,30.28524857023123,29.844218006362336,29.844218006362336,1522656
2002-09-20,30.169174194335938,30.275287769857552,29.84420474912212,29.84420474912212,1161648
2002-09-23,30.11944580078125,30.218925002277928,30.07633776731053,30.192398733167458,893119
2002-09-24,29.645252227783203,30.159235651065394,29.389916984746613,29.993435097651652,1465078
2002-09-25,28.99199867248535,29.512613737118883,28.89915103234892,29.505982169418623,2070009
2002-09-26,28.55096435546875,29.346809298099874,28.478011428033227,29.015208187392247,2245162
2002-09-27,28.169612884521484,28.726704187800056,28.103291542552295,28.68359616936965,5235849
2002-09-30,27.798227310180664,28.31884230381003,27.698745269745455,27.937498751390745,2770704
2002-10-01,27.688800811767578,27.887762067254354,27.400307702853326,27.400307702853326,956223
2002-10-02,27.688800811767578,27.688800811767578,27.688800811767578,27.688800811767578,0
2002-10-03,27.821434020996094,28.136456170403893,27.72195484021764,27.93749496268137,1258051
2002-10-04,27.8977108001709,28.070145794243793,27.77170247314954,28.003824423741413,951331
2002-10-07,28.279052734375,28.385166351653027,27.904343559439475,28.179570684520677,1377747
2002-10-08,28.368579864501953,28.494591009240686,28.279048026853527,28.494591009240686,2341683
2002-10-09,28.527746200561523,28.71676005401036,28.361945673249245,28.511167286296512,1962693
2002-10-10,28.534381866455078,28.849401174493476,28.245885976240803,28.766500907194057,848902
2002-10-11,28.534381866455078,28.92566987579545,28.434899837996376,28.92566987579545,1389636
2002-10-14,30.01995849609375,30.12607209245189,29.555717560129025,29.721518097699693,8814321
2002-10-15,30.01995849609375,30.01995849609375,30.01995849609375,30.01995849609375,0
2002-10-16,30.2520751953125,30.318396537425016,30.01995334408392,30.318396537425016,2409858
2002-10-17,31.352994918823242,31.445845367737896,30.136014504709905,30.2421280836844,4899537
2002-10-18,31.26347541809082,31.66802950598474,30.590322917486006,31.5022289302413,3001617
2002-10-21,31.220367431640625,31.33642840407794,30.772705307191778,31.33642840407794,1880032
2002-10-22,30.82243537902832,31.916723396127793,30.766061379073346,31.916723396127793,1635525
2002-10-23,30.766075134277344,30.839028080855908,30.61685630300312,30.79923582328276,1090525
2002-10-24,30.716325759887695,30.92191855096826,30.666586165273948,30.756118004811864,1062405
2002-10-25,30.772695541381836,30.98823565255374,30.341609626707086,30.341609626707086,1884136
2002-10-28,30.739543914794922,30.83902311964073,30.673222547453513,30.83902311964073,1037448
2002-10-29,31.114246368408203,31.17062037231244,30.50741538075625,30.673215917103875,1670868
2002-10-30,31.064502716064453,31.13082406040042,30.67321190757981,31.071134281264985,1123609
2002-10-31,31.26347541809082,31.336428354497862,30.981613870093696,30.981613870093696,3234775
2002-11-01,31.319833755493164,31.54532403995968,31.087711906100903,31.087711906100903,2127649
2002-11-04,31.462432861328125,31.58512538634039,31.369585233255606,31.502225108525778,461115
2002-11-05,32.02615737915039,32.231753037709915,31.379534043641822,31.502226574363124,2325154
2002-11-06,32.02615737915039,32.02615737915039,32.02615737915039,32.02615737915039,0
2002-11-07,31.618288040161133,32.22512198242555,31.512174425622277,32.22512198242555,1580611
2002-11-08,32.40749740600586,32.70594066430494,31.833824218049156,32.082527882020344,4796464
2002-11-11,32.32460021972656,32.64625399121247,32.18201014338426,32.497032347815384,1813365
2002-11-12,32.17537307739258,32.2814866706321,31.99962519581258,32.208533753165284,1793362
2002-11-13,31.88357162475586,32.397555102644915,31.750928890999784,32.2814941336915,3112983
2002-11-14,31.876930236816406,32.19858392859873,31.7940299768415,31.833819369310657,1496961
2002-11-15,31.943260192871094,32.15880322303812,31.634872367480465,32.00958156310194,1876644
2002-11-18,31.910091400146484,32.57329639545072,31.353000001017325,32.082526349701695,4090977
2002-11-19,31.910091400146484,31.910091400146484,31.910091400146484,31.910091400146484,0
2002-11-20,31.943260192871094,32.07590293333278,31.00482504262031,31.850412551481057,3215218
2002-11-21,32.33122634887695,33.72395765811314,32.28148675816585,33.07733159420616,5462640
2002-11-22,33.700740814208984,34.12187651523367,31.966461270755175,32.397544319650876,13755784
2002-11-25,33.011016845703125,34.304263428373055,32.88832432336347,34.214731585670116,11834545
2002-11-26,33.02760314941406,33.458686388775725,32.67278863642536,32.99444246236061,4445869
2002-11-27,33.22655487060547,34.2876823203344,32.67941080698228,32.99443297414922,17878828
2002-11-28,33.89970016479492,34.12187466552897,33.442090879716304,33.50840937475998,7935615
2002-11-29,34.005821228027344,34.65244448559254,33.508416751785475,34.50322570426921,6705027
2002-12-02,33.87318801879883,35.448299182553995,33.684174109914935,35.448299182553995,4943533
2002-12-03,33.02760314941406,34.10530982473492,32.921489520076335,34.10530982473492,2909682
2002-12-04,32.4638671875,33.16022995595117,31.999623444422237,31.999623444422237,2827377
2002-12-05,32.72914505004883,33.435457973364386,32.5401340575783,32.57992344869604,3419167
2002-12-06,33.30282974243164,33.40894336090556,32.729156461322205,33.16023965655001,2154298
2002-12-09,33.011016845703125,33.98924124107326,32.70594200844455,33.46862625542502,2670601
2002-12-10,33.02760314941406,33.160243051461265,32.55672765482158,32.828641873259954,1149660
2002-12-11,32.77226257324219,33.30945935542269,32.66283602360621,33.16023771079853,1602972
2002-12-12,32.795467376708984,32.954636330609496,32.60645353241078,32.954636330609496,617044
2002-12-13,32.93806076049805,33.30282250918399,32.82863138204256,32.82863138204256,2313391
2002-12-16,32.88832092285156,33.326032741067515,32.74573086900671,33.326032741067515,1658191
2002-12-17,32.473819732666016,32.99443471247085,32.3909194575877,32.99443471247085,976140
2002-12-18,33.14365768432617,33.70074914919917,32.530192208577496,32.67941384820999,9846864
2002-12-19,33.25309371948242,33.6410660754002,33.137032737267724,33.137032737267724,2943229
2002-12-20,33.06075668334961,33.60790078593342,32.921482397092205,33.3194048633048,2145852
2002-12-23,32.9446907043457,33.23649951969253,32.59650788794965,32.59650788794965,1300698
2002-12-24,33.18675994873047,33.3260313676659,32.8286297835408,32.8286297835408,1627767
2002-12-25,33.18675994873047,33.18675994873047,33.18675994873047,33.18675994873047,0
2002-12-26,33.369140625,33.922916183448805,33.020957825236025,33.160229237442366,8073936
2002-12-27,34.29763412475586,34.40374773736188,33.32603838580465,33.32603838580465,6796165
2002-12-30,34.934303283691406,35.11668271399201,34.4203171269387,34.652438989289806,7411014
2002-12-31,35.365379333496094,35.48143739552709,34.927661956644656,35.06693618494553,4987710
2003-01-01,35.10011672973633,35.54114729218908,34.98405575581019,35.43171788600162,2485881
2003-01-02,34.911094665527344,35.43170961159733,34.8281943958208,35.14984812536195,2634268
2003-01-03,33.93949890136719,35.149847956361626,33.82343795510291,34.93430782539409,3617793
2003-01-06,33.319393157958984,34.15503288960508,33.160224227391154,34.048919320504865,3239698
2003-01-07,33.856597900390625,33.972658844146736,33.30282229183497,33.65763668911811,2724322
2003-01-08,34.54633331298828,34.78508677561085,33.74053824201278,33.8665465395915,6860502
2003-01-09,34.304256439208984,34.562907410744884,33.49183276137998,34.48663871696926,1652395
2003-01-10,33.94945526123047,34.36395956395079,33.68417546750261,34.29763819243558,1340140
2003-01-13,33.989234924316406,34.55296068104248,33.8002239239962,33.989234924316406,2794941
2003-01-14,34.08208084106445,34.15503374375996,33.740529649777336,33.75711140738907,1326222
2003-01-15,34.03898239135742,34.41369151084509,33.9162870275098,34.39711259473912,2034202
2003-01-16,33.60126495361328,34.181566816242274,33.508414492506766,34.05555852563232,2021215
2003-01-17,33.64105987548828,33.95608492301315,33.574741359421125,33.70738123772153,1466334
2003-01-20,32.91153335571289,33.740538925415656,32.805419754787195,33.607899058882914,1949940
2003-01-21,32.91153335571289,33.28624531907079,32.795472405184555,32.99443362806659,2044692
