Price,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
2000-01-03,132.17193603515625,132.17193603515625,131.73948406243306,131.73948406243306,249030
2000-01-04,130.6540985107422,136.37904577072484,128.87561743728997,136.37904577072484,585140
2000-01-05,126.0059585571289,128.8755851057742,120.57026962117988,126.01168321453478,802960
2000-01-06,131.06356811523438,135.17612571075867,126.58442280541384,127.437868440387,1900320
2000-01-07,138.20901489257812,140.4457211589279,130.72278127097573,131.73946275934077,1925820
2000-01-10,139.2572479248047,143.13783200596362,138.04008945965217,140.04482104931515,865910
2000-01-11,142.3817901611328,144.85619759224954,136.89455144359695,140.33123474343623,1344110
2000-01-12,151.6608428955078,153.77440465670648,142.62236594561904,143.19514653174602,1770570
2000-01-13,159.61387634277344,163.79516682834523,151.78682623877555,154.59344707702738,2545080
2000-01-14,154.77102661132812,159.06116479192409,151.78684485773542,157.51465032406506,1202400
2000-01-17,148.8226318359375,157.5145649267684,145.7782947427581,157.45156749113318,965390
2000-01-18,146.71478271484375,149.38107393167465,145.8298470663481,148.75102967547474,894390
2000-01-19,144.85325622558594,148.9228572426709,143.25233655901914,147.49090669226058,1186660
2000-01-20,144.59268188476562,145.1998276948832,144.0542669241149,144.62704730949906,1215590
2000-01-21,145.95016479492188,148.63650613070254,145.29147086488305,145.48621409325028,750120
2000-01-24,147.69142150878906,151.72951611463196,145.54349512698548,146.05899396264442,711990
2000-01-25,146.17642211914062,148.79115728728777,145.8298924264837,148.79115728728777,540930
2000-01-26,146.17642211914062,146.17642211914062,146.17642211914062,146.17642211914062,0
2000-01-27,146.6116943359375,153.5051067301535,145.42890172337746,150.06842523619486,926470
2000-01-28,144.55548095703125,146.90675123920087,142.6223467391809,144.62707852065535,464210
2000-01-31,139.7583770751953,142.85138684236176,137.52453765890095,140.04476719215268,690790
2000-02-01,133.26876831054688,138.32641853389052,130.88027592130015,138.32641853389052,1174420
2000-02-02,137.8653564453125,143.13779133695232,136.0353192189671,137.4672699475878,983250
2000-02-03,139.63812255859375,140.38847218484904,135.1188857888308,139.07107558584448,583650
2000-02-04,134.417236328125,139.74695352538484,133.17143726379925,139.74695352538484,333800
2000-02-07,132.2521209716797,134.88977202849472,130.30752924196412,134.31699168017838,367640
2000-02-08,132.13754272460938,133.71554635534523,131.7394562594402,131.7394562594402,417900
2000-02-09,138.5040283203125,142.04954042528487,135.46256576846724,139.7584188055222,675040
2000-02-10,133.52081298828125,140.04478010449236,132.8850265204181,136.3933057766145,878920
2000-02-11,136.1212615966797,140.32547646869648,132.1404394759778,137.18090885626177,1568670
2000-02-14,131.75669860839844,138.32649168710083,131.5676799933255,135.7489794196393,578030
2000-02-15,131.85401916503906,135.1675551939083,130.593904292658,132.31224513861403,715130
2000-02-16,132.37234497070312,138.0400066104584,131.73942539587316,137.46722650004156,907290
2000-02-17,133.2888946533203,134.43158901706994,132.31230279816046,134.43158901706994,620800
2000-02-18,143.93975830078125,143.95407431898764,132.59870132101764,133.33758440721223,2380600
2000-02-21,155.4554443359375,155.4554443359375,148.98016691830523,152.58867599541088,3437360
2000-02-22,167.89340209960938,167.89340209960938,167.25189079471056,167.25189079471056,1153490
2000-02-23,164.7258758544922,181.3250543822008,158.37374475381296,181.3250543822008,5542040
2000-02-24,176.802978515625,177.90559124571791,167.53826277141044,171.71955259392834,2852320
